fact_id,continent,question,context1,context2,answer
131,Asia,Singapore,"""""","""""",Singapore
132,Asia,South Korea,"""""","""""",Seoul
133,Asia,Sri Lanka,"""""","""""",Sri Jayawardenepura Kotte
134,Asia,Syria,"""""","""""",Damascus
135,Asia,Taiwan,"""""","""""",Taipei
136,Asia,Tajikistan,"""""","""""",Dushanbe
137,Asia,Thailand,"""""","""""",Bangkok
138,Asia,Timor-Leste,"""""","""""",Dili
139,Asia,Turkey,"""""","""""",Ankara
140,Asia,Turkmenistan,"""""","""""",Ashgabat
141,Asia,United Arab Emirates,"""""","""""",Abu Dhabi
142,Asia,Uzbekistan,"""""","""""",Tashkent
143,Asia,Vietnam,"""""","""""",Hanoi
144,Asia,Yemen,"""""","""""",Sana'a
145,Africa,Algeria,"""""","""""",Algiers
146,Africa,Angola,"""""","""""",Luanda
147,Africa,Benin,"""""","""""",Porto-Novo
148,Africa,Botswana,"""""","""""",Gaborone
149,Africa,Burkina Faso,"""""","""""",Ouagadougou
150,Africa,Burundi,"""""","""""",Gitega
151,Africa,Cabo Verde,"""""","""""",Praia
152,Africa,Cameroon,"""""","""""",Yaounde
153,Africa,Central African Republic,"""""","""""",Bangui
154,Africa,Chad,"""""","""""",N'Djamena
155,Africa,Comoros,"""""","""""",Moroni
156,Africa,Congo,"""""","""""",Brazzaville
157,Africa,Djibouti,"""""","""""",Djibouti
158,Africa,Egypt,"""""","""""",Cairo
159,Africa,Equatorial Guinea,"""""","""""",Malabo
160,Africa,Eritrea,"""""","""""",Asmara
161,Africa,Eswatini,"""""","""""",Mbabane
162,Africa,Ethiopia,"""""","""""",Addis Ababa
163,Africa,Gabon,"""""","""""",Libreville
164,Africa,Gambia,"""""","""""",Banjul
165,Africa,Ghana,"""""","""""",Accra
166,Africa,Guinea,"""""","""""",Conakry
167,Africa,Guinea-Bissau,"""""","""""",Bissau
168,Africa,Ivory Coast,"""""","""""",Yamoussoukro
169,Africa,Kenya,"""""","""""",Nairobi
170,Africa,Lesotho,"""""","""""",Maseru
171,Africa,Liberia,"""""","""""",Monrovia
172,Africa,Libya,"""""","""""",Tripoli
173,Africa,Madagascar,"""""","""""",Antananarivo
174,Africa,Malawi,"""""","""""",Lilongwe
175,Africa,Mali,"""""","""""",Bamako
176,Africa,Mauritania,"""""","""""",Nouakchott
177,Africa,Mauritius,"""""","""""",Port Louis
178,Africa,Morocco,"""""","""""",Rabat
179,Africa,Mozambique,"""""","""""",Maputo
180,Africa,Namibia,"""""","""""",Windhoek
181,Africa,Niger,"""""","""""",Niamey
182,Africa,Nigeria,"""""","""""",Abuja
183,Africa,Rwanda,"""""","""""",Kigali
184,Africa,Sao Tome and Principe,"""""","""""",Sao Tome
185,Africa,Senegal,"""""","""""",Dakar
186,Africa,Seychelles,"""""","""""",Victoria
187,Africa,Sierra Leone,"""""","""""",Freetown
188,Africa,Somalia,"""""","""""",Mogadishu
189,Africa,South Africa,"""""","""""",Pretoria
190,Africa,South Sudan,"""""","""""",Juba
191,Africa,Sudan,"""""","""""",Khartoum
192,Africa,Tanzania,"""""","""""",Dodoma
193,Africa,Togo,"""""","""""",Lome
194,Africa,Tunisia,"""""","""""",Tunis
195,Africa,Uganda,"""""","""""",Kampala
196,Africa,Zambia,"""""","""""",Lusaka
197,Africa,Zimbabwe,"""""","""""",Harare
